NORAD_CAT_ID,OBJECT_DESIGNATOR,EPOCH,INCLINATION_RAD,RAAN_RAD,ECCENTRICITY,ARG_OF_PERIGEE_RAD,MEAN_ANOMALY_RAD,MEAN_MOTION_REV_PER_DAY,REV_NUM_AT_EPOCH,BSTAR,LINE1,LINE2
56900,23083AA,2025-07-26,0.7505282302718536,3.7893611334919766,0.0001223,4.9108364069949495,1.3735793573072934,0.06556056029645806,11779,-2.3346e-05,1 56900U 23083AA  25207.72616280 -.00000519  00000+0 -23346-4 0  9992,2 56900  43.0021 217.1144 0001223 281.3702  78.7003 15.02537363117798
56901,23083AB,2025-07-27,0.7505596461983896,3.9310277635471045,0.0001369,4.942793385598964,1.3415961987644973,0.06556076380184885,11699,-2.5503e-05,1 56901U 23083AB  25208.45149433 -.00000548  00000+0 -25503-4 0  9994,2 56901  43.0039 225.2313 0001369 283.2012  76.8678 15.02542027116993
56902,23083AC,2025-07-26,0.7505369569181136,3.788954471776262,0.0001223,4.943927849612762,1.3404896600187328,0.06556042843683307,11793,4.259700000000001e-06,1 56902U 23083AC  25207.72283076 -.00000146  00000+0  42597-5 0  9992,2 56902  43.0026 217.0911 0001223 283.2662  76.8044 15.02534341117935
56903,23083AD,2025-07-26,0.7505474288936255,3.994491425808122,0.0001484,4.812471395681801,1.47189026341363,0.06556037105913391,11780,-1.1690000000000002e-05,1 56903U 23083AD  25207.79004363 -.00000362  00000+0 -11690-4 0  9990,2 56903  43.0032 228.8675 0001484 275.7343  84.3331 15.02533026117809
56904,23083AE,2025-07-27,0.7505421929058694,3.754302704807167,0.000144,4.889929107885309,1.3944430231856337,0.06556041080900762,11707,2.0675e-05,1 56904U 23083AE  25208.03190980  .00000076  00000+0  20675-4 0  9993,2 56904  43.0029 215.1057 0001440 280.1723  79.8957 15.02533937117076
56905,23083AF,2025-07-26,0.7505299756011056,3.8264301814750845,0.0001412,4.829734447313277,1.454639429086918,0.06556040182056197,11776,-4.7313e-06,1 56905U 23083AF  25207.32063595 -.00000268  00000+0 -47313-5 0  9990,2 56905  43.0022 219.2383 0001412 276.7234  83.3447 15.02533731117766
56906,23083AG,2025-07-27,0.7505387022473655,3.718668317469198,0.0001371,4.831401236748931,1.4529813662975235,0.06556038266557344,11713,3.1351000000000005e-05,1 56906U 23083AG  25208.44742906  .00000220  00000+0  31351-4 0  9995,2 56906  43.0027 213.0640 0001371 276.8189  83.2497 15.02533292117131
56907,23083AH,2025-07-26,0.7505334662596096,3.788228414807432,0.0001415,4.756832044457473,1.5275400866134692,0.06556050051893118,11793,3.1043e-05,1 56907U 23083AH  25207.71728182  .00000216  00000+0  31043-4 0  9998,2 56907  43.0024 217.0495 0001415 272.5464  87.5216 15.02535993117933
56908,23083AJ,2025-07-27,0.7505317209303576,3.711105805820307,0.0001391,4.822084669201786,1.462292697856913,0.0655604640415498,11714,2.8675000000000002e-05,1 56908U 23083AJ  25208.50391458  .00000184  00000+0  28675-4 0  9990,2 56908  43.0023 212.6307 0001391 276.2851  83.7832 15.02535157117147
56909,23083AK,2025-07-26,0.7505404475766175,3.8075195390297254,0.0001394,4.893487834230125,1.390893023487077,0.06556035299497616,11790,1.2381e-05,1 56909U 23083AK  25207.52117964 -.00000036  00000+0  12381-4 0  9994,2 56909  43.0028 218.1548 0001394 280.3762  79.6923 15.02532612117903
56910,23083AL,2025-07-26,0.7505387022473655,3.8112440716534817,0.0001315,4.719909604131534,1.5644834708904332,0.06556046007092577,11778,-5.925000000000001e-06,1 56910U 23083AL  25207.43472174 -.00000284  00000+0 -59250-5 0  9996,2 56910  43.0027 218.3682 0001315 270.4309  89.6383 15.02535066117788
56911,23083AM,2025-07-26,0.7505404475766175,3.7875669350209265,0.0001407,4.986609876470283,1.2977744719054236,0.06556049266494955,11782,2.5631e-05,1 56911U 23083AM  25207.71284092  .00000143  00000+0  25631-4 0  9995,2 56911  43.0028 217.0116 0001407 285.7117  74.3570 15.02535813117820
56912,23083AN,2025-07-27,0.7505334662596096,3.7160799941884903,0.0001289,4.854699636933804,1.429700419405171,0.06556034767172193,11713,-6.295800000000001e-06,1 56912U 23083AN  25208.42745094 -.00000289  00000+0 -62958-5 0  9996,2 56912  43.0024 212.9157 0001289 278.1538  81.9158 15.02532490117135
